stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022005003937002,Sänna Södra,58.792408,14.986083,0,9021005003937000,B
9022005003938001,Lunnafallsvägen,58.794724,14.980337,0,9021005003938000,A
9022005003938002,Lunnafallsvägen,58.794714,14.980251,0,9021005003938000,B
9022005003939001,Lunna,58.800661,14.965578,0,9021005003939000,A
9022005003939002,Lunna,58.800543,14.965322,0,9021005003939000,B
9022005003940001,Skyrstavägen,58.809978,14.963882,0,9021005003940000,A
9022005003940002,Skyrstavägen,58.809969,14.963813,0,9021005003940000,B
9022005003941001,Hammars kyrka,58.817104,14.959382,0,9021005003941000,A
9022005003941002,Hammars kyrka,58.817113,14.959382,0,9021005003941000,B
9022005003943001,Öna,58.831771,14.929415,0,9021005003943000,A
9022005003943002,Öna,58.831132,14.929172,0,9021005003943000,B
9022005003944001,Stjärnsund,58.848671,14.915528,0,9021005003944000,A
9022005003944002,Stjärnsund,58.848652,14.915320,0,9021005003944000,B
9022005003945001,Rude,58.856651,14.906243,0,9021005003945000,A
9022005003945002,Rude,58.855498,14.907053,0,9021005003945000,B
9022005003946001,Stockshammar,58.864261,14.902059,0,9021005003946000,A
9022005003946002,Stockshammar,58.864135,14.901889,0,9021005003946000,B
9022005003947001,Askersund Landskyrkan,58.878624,14.896691,0,9021005003947000,A
9022005003947002,Askersund Landskyrkan,58.878725,14.897018,0,9021005003947000,B
9022005003948001,Askersund Torget,58.879333,14.903036,0,9021005003948000,A
9022005003948002,Askersund Torget,58.879209,14.903230,0,9021005003948000,B
9022005003949001,Jerketorp,58.809147,15.940326,0,9021005003949000,A
9022005003949002,Jerketorp,58.807818,15.940321,0,9021005003949000,B
9022005003950001,Berget,58.036526,14.979950,0,9021005003950000,A
9022005003950002,Berget,58.036554,14.980000,0,9021005003950000,B
9022005003951001,Musikskolan,58.036093,14.982330,0,9021005003951000,A
9022005003951002,Musikskolan,58.036173,14.982277,0,9021005003951000,B
